"Method","Strategy","MeanAcc","SDAcc","Model"
"pca","Weighted",0.982336182336182,0.0243645075080096,"RF"
"pca","Weighted",0.989838556505223,0.0227083493269416,"XGB"
"pca","Weighted",0.920752136752137,0.0440149625478218,"SVM"
"pca","Weighted",0.948341744675078,0.0628404189764432,"NB"
"pca","SMOTE",0.956327363994031,0.0319271550938617,"NN"
