Fold,Model,Accuracy,MacroF1,MacroAUC
1,rf,0.92,0.9266666666666666,0.9968253968253968
2,rf,0.8846153846153846,0.8673015873015872,0.9761864165956238
3,rf,0.8928571428571429,0.8952380952380952,0.9924401064773736
4,rf,0.8518518518518519,0.8459096459096459,0.9875749559082893
5,rf,0.875,0.86,0.9793121693121692
