Fold,Model,Accuracy,MacroF1,MacroAUC
1,nnet,0.96,0.974089068825911,1
2,nnet,0.9615384615384616,0.9749019607843137,1
3,nnet,0.9642857142857143,0.9682539682539683,1
4,nnet,0.9259259259259259,0.9310924369747899,0.997336860670194
5,nnet,0.9166666666666666,0.9094736842105263,1
