Model,Accuracy,F1,AUC
nnet,0.8916947496947497,0.8958876678876678,0.9829821267110269
rf,0.8848648758648758,0.879023199023199,0.9864678090237705
xgbTree,0.9166056166056166,0.9147977251506663,0.9888893427329094
